"","Rating","Text"
"32",5,"  Miguel Rivera (Anthony Gonzalez), is a young boy who has a deep passion for music, despite living with a shoe-making family that despises it for causing the husband of their most important ancestor, Mama Imelda (Alanna Ubach) to seemingly abandon his family. Miguel shortly discovers that the identity of his great-great grandfather could be the most famous musician in all Mexico, Ernesto De La Cruz (Benjamin Bratt) and through a series of events he ends up in the Land of the Dead on the night of Día de Muertos (The Day of the Dead) in which if he doesn't receive a blessing from one of his departed family members, he will end up dead himself. With Imelda and the rest of his departed family not willing to send him back unless he gives up music forever, Miguel is forced to team up with a smooth-talking skeleton named Hector (Gael García Bernal), to see if he can find Ernesto and convince him to send him back home...Although Coco isn't the first mainstream animated film to focus on Mexico's famous holiday where families come together to remember and celebrate the lives of their deceased relatives with that honor going to 2014's underrated gem Book of Life, Lee Unkrich, seven years after his outstanding debut with Toy Story 3, brings both Mexico's traditions and folklore to breathtaking life with one of the most beautiful looking films in Pixar Animation Studio's library.The Land of the Dead, while being a more modernized take on the Mexican afterlife when compared to Book of Life's fairy tale atmosphere, is stunning to look at, with the best examples being the outstanding character animation such as appealing skeletons with eyeballs and the shape-shifting alebrije creatures and the screenplays deep respect for Mexican culture which explains to audiences the importance of Mexican family traditions and the concepts of the most interesting aspects of the holiday such as ofrendas being vital for the deceased to visit the land of the living and the deep importance of being remembered.It's true that this film does contain numerous tropes present in other Pixar films, with the most obvious examples being Ratatouille and Brave, But Coco's beautiful animation, impressive voice-acting that's surprisingly not overtaken by celebrity voices when compared to other mainstream animated films, its deep respect for Mexican culture, outstanding use of music and it's willingness to address death in a positive light like the best of Tim Burton's filmography, makes this, along with 2015's Inside Out, the strongest Pixar film of the 2010's."
"33",5,"  Coco is masterfully crafted. With original songs like ""Remember Me"" (Kristen Anderson-Lopez / Robert J. Lopez) featured at several different points thoughout the feature and an original score by Michael Giacchino, both paying tribute to the traditional sound of Mexico; Coco's soundtrack doesn't just accompany the story, it is the story!"
"34",4,"  Great Writing: 2 StarsA cute movie that tugs on the old heart strings. The writing is very good, not amazing but very good. Dialog is where it lacks a little bit. The flagship song is sang in English during the movies entirety, which is a little disappointing. Great Production: 2 StarsA visually beautiful animation and fun soundtrack. Other then the city of the dead, not much else was visually captivating. As mentioned before the English songs cause it to loose authenticity."
"35",5,"  A top-five film for Pixar, Coco was a film that had a little bit of everything: family, amazing music, beautiful animation, and a story that can only be told by the folks at Disney/Pixar. I'm not ashamed to admit that I cried all three times I saw it in theaters."
"36",5,"  Really beautiful and inspiring, gorgeously animated, and filled with many positive messages with a high level of maturity that even adults can watch and enjoy."
"37",4,"  Really lovely, especially considering I watched it in Spanish! Colourful, charming and right in that sweet spot of serious-yet-silly, 'Coco' tackles issues of culture, family and legacy with a relatable protagonist and a few twists.I'll have to agree with someone-I-can't-remember's analysis: it's definitely difficult to dislike."
"38",5,"  Beautiful and Elegant. Best Animation movie by far this year."
"39",5,"  ""Coco"" is the best movie in the history of Pixar."
"40",5,"  laugh out loud funny and entertaining from beginning to end"
"41",4.5,"  WOW what a great movie."
"42",4,"  I've 'nearly' cried quite a few times with films. But I can hardly recall tears actually flowing on my cheeks. Pixar has its way with sweet, tender, pristine emotion."
"43",5,"  A wonderful, WONDERFUL movie."
"44",5,"  My 2 year old's favorite movie. We watch it every day. Super cute. Surprisingly I don't get bored with it."
"45",5,"  When i see the trailer, i'm just interested with visual, just that.But this is more and more than that, it's really a masterpiece. This is a movie with very powerful message about love, about family, about dream, about passion, and how we can choose the best in life.I recommend you all to watch this movie."
"46",5,"  a very joyful movie that can make anyone smile and cry"
"47",2,"  Fun movie but I enjoyed ""Book of Life"" more"
"48",5,"  Good Films I really enjoyed it!"
"49",3.5,"  The visuals and humor are great but the story isn't that good. From undeveloped characters, to boring sequences and confusing plotlines. ""Coco"" is far from the masterpiece, critics claim it to be."
"50",3.5,"  okay.... have to admit that the plot was somehow unexpected. Then again, this movie works just fine, and I mean, just fine. Overrated in some sense perhaps?"
"51",4.5,"  Coco has taken a place in my top three favourite Pixar films and a place in my heart with it's touching story that can bring a tear to your eye. Coco is wonderfully animated with respect to the Mexican tradition. The cast is perfect for every role and the (Spoiler Alert) twist was not seen coming about Miguel's grandfather."
"52",5,"  Pixar has done it again with a movie that I can see put next to Toy Story and Finding Nemo as some of the best kids movies of the 21st century. Plot is interesting for the whole family with an interesting twist."
"53",4,"  This is not a ""light"" movie. The subject matter is pretty deep, and I will admit to crying at the end. I didn't laugh hardly at all, but there were many moments that made me feel all the feels."
"54",5,"  Fantastic movie with a very cool story with many surprises throughout. The theme of family was awesome and it was one of the best animated movies ive seen in a long time. 5/5"
"55",4.5,"  Always remember no matter what, family comes first."
"56",5,"  Excelente pelicula!. Una muestra bellisima de la cultura mexicana. Emocionante."
"57",4,"  Colorful visuals and a strong, relevant theme make this the best animated film of the year."
"58",4,"  A heartwarming tale about the importance of family, but also following your passion. During his adventure with Hector, Miguel learns it's all about staying true to yourself and not forgetting those you love. The movie took a surprising, dark twist, but I liked that it was unexpected. An inventive and creative story!"
"59",4.5,"  Stunningly gorgeous animation, beautiful visuals that leap off the screen, and a deeply affecting narrative about culture, family, life, and death, help make Lee Unkrich's newest film standout as one of Pixar's best efforts in years."
"60",3.5,"  Visually beautiful, great portrayal of the monomyth...but very ADD in all of it's twists and turns."
"61",3,"  I actually did see this movie, and every star I am giving it goes to the design of the world and characters, the music, and the way they portrayed Mexican culture. This movie is lacking in story, in my opinion. Filled with tired cliches that we've seen over and over. You got the family that just doesn't understand, you got the big misunderstanding that leads to disaster between Miguel and Hector, and you got the really nice guy that turns around is suddenly an evil monster. The villain really is my biggest problem with the movie. I wish they would put more effort into these villains. What drove him to such a drastic choice? Why did he feel like he had to do what he did to his friend? Did he have a family he wanted to take care of as well? Make him more human and relatable, please, because he's basically just the prince from Frozen at this point. The family is also terrible aside from Hector, like they are all awful and manipulative people aside from Coco and her father. Just really unlikable people."
"62",5,"  The best movie i ever seen"
"63",5,"  Great family movie! Best of 2018!"
"64",5,"  So good I have no words to describe it"
"65",5,"  Coco isn't just a fantastic Pixar movie, but its a movie that's able to tell a story with dead people and make it extremely touching. Coco is a new Pixar Classic. The chemistry with Miguel and Hector is unforgettable, the music by Michael Giacchino is great, the songs are also amazing in this movie. Animation that surpasses any Pixar movie, and emotional scenes that punch you in the gut Hard! Coco is a new masterpiece, don't judge this movie by its Day of the Dead theme, the directors are telling a beautiful story with a Mexican holiday that's so touching. Pixar, you've done it again!!"
"66",3.5,"  Pretty fun. Catchy tunes. Predictable. But I'm starting to miss a boy and girl love story."
"67",3,"  Coco has a good story with a twist and a great ending, but it does have its slow scenes and predictable moments."
"68",5,"  Coco was a AMAZING MOVIE! Made me sad when wanted to, perfect action, and beautiful design"
"69",5,"  Coco is a richly animated, heartwarming film that explores portrayals of the lands of the living and dead. The narrative follows Miguel, a young boy whose love of music changes his world in life and death. The strong presence of characters such as Hector, a man nearly forgotten in the Land of the Remembered, make the film relatable for all viewers. This is a film for all, young and old, and one sure not to be forgotten."
"70",4,"  I am not a Pixar fan. Ever since..I wanna say Cars, maybe...their films are too high concept for my liking, filled with all sorts of baffling internal logic that serves the purpose of the story and whatever heavy handed lesson they are trying to peddle, but completely destroys my suspension of disbelief. Coco, then, is a welcome surprise because it (like all of the Pixars I *do* like) it tells a relatively straightforward story and allows its themes to reveal themselves naturally, in a way that does not feel forced. Inside Out, I'm looking at you. It's also very much a take off of Wizard of Oz, and has the visuals to bolster that lofty comparison."
"71",4.5,"  Coco is one of Disney and Pixar's greatest movies and a significant improvement over some of the mixed films of the past few years. The movie focuses on a young Mexican boy named Miguel who slowly discovers a passion for music, but is not able to pursue this dream due to his family forbidding the practice. They do not tell him why, except for the fact that it is a curse. Miguel eventually gets transported to the afterlife where he visits many of his ancestors and he begins his slow journey towards solving his family mystery and passion for music. The story is well written and executed well in this adventure. The visuals are stunning and Pixar continues to lead the way in regards to animated films. The colours are vibrant and help project the world as magical and breathtaking. The music is also enjoyable with tons of catchy songs throughout. Family serves as the central theme of the film and it delivers important messages on this front. There are some predictable storylines during the latter half of the film, but these can easily be forgiven by the heartfelt messages and vibrant and joyful world being portrayed. Overall, Coco is a very enjoyable film for any movie goer, portraying a fun and engaging world, with important messages and catchy songs."
"72",3.5,"  Nothing like a good cry during a kid's cartoon movie."
"73",5,"  it is the best what i seen in 2018"
"74",3,"  The obvious FORESHADOWING combined with some obvious cliches make this film Extremely predictable, One of the most absurd examples is when a character confirms being a murderer by making a movie scene out of it: that's so idiotic.There are also several contradictions and events that don't make sense; the guitar is stolen (a second time) and there is no repercussion at all, some of the characters have bipolar moodswings for lack of a better word, which is partially because this film struggles to SEPARATE comedy from drama, and the villain being literally forgotten; how did that happen so easily? (Spoiler Warning) I didn't want to mention the similar Fox film Book of Life: but I actually do because there are too many similarities to ignore. I am aware of the Day-of-the-dead themes, the big issue is the writing is similar; kid wants to break family tradition to be a guitarist, romance built upon music INTERRUPTED by a cheating ASSASSIN who uses poison, the dead family team up to fight the villain, a grandma dies during the film, the popular guy is revealed to be a fraud. these are very specific SIMILARITIES, but at least it's not an obvious cut-and-paste (kimba the white lion).With that said, it's not a bad film and it does indeed have emotional moments and a good ending. I just expected more from a film this over-hyped.but don't expect me to think that Grandma Elena turned over a new leaf somehow: no way she changed and no way am i going to show sympathy to that hag."
"75",5,"  It is the first movie i have to give a socre in this page, it made cry a lot as I did not before. I would like to give a better opinion but I would not find the correct words #COCO"
"76",5,"  This touching movie. This is one movie i much recommend watching. Very heartwarming."
"77",5,"  It was a fantastic movie best Iseen so far"
"78",1,"  If this movie's main job was to make you cry, I would have given it a 10/5 stars. But as a movie only, it sucked. And UNFORTUNATELY Pixar must battle of the law of expectation. I was hoping this movie would be as good, as charming, as wonderful as Pixar's earlier stuff. It's just plain not. And even when not comparing this movie to Pixar's earlier work, this movie still wasn't very good. The boy is not charming enough. The laughs aren't funny enough. The story isn't inspiring enough. The plot isn't captivating enough. Kids will of course like this ok. But overall, it's just not worth the reviews it got, plain and simple. Watch at your own risk."
"79",5,"  Saw this on a plane and found myself totally absorbed andTouched by this movie. It's a must see for anyoneWhose lost someone they love."
"80",3.5,"  Pixar has done it gain with another animated masterpiece but although the world created, the story told, and the characters developed, Coco fails to reach legendary status like some other Pixar classics we know."
"81",4,"  One of the only movies that has made me cry."
"82",5,"  I cried in the first five minutes. It's a true adventure without being pandering. Emotional without being melodramatic. Funny without being cheesy. Fantastic!!!"
"83",5,"  A Huge Amount of Good Feeling"
"84",4,"  Coco is by all means a large serving of heartfelt suitition with fun that will have you singing without even knowing, absolutely amazing."
"85",2,"  Despite being a Book of Life rip-off, theme wise, it does a reasonable job of telling a story. Just don't expect it to be half as light or funny as BoL and you'll be OK."
"86",5,"  A beautiful, emotional and charming movie which has swiftly become my favourite Pixar movie ever! The songs are fun, the vistas are incredible - this is a new peak of animation, and Lee Unkrich has cemented himself as my favourite animated director with my top two films ever."
"87",4,"  Well, Pixar have done it again. Colourful, vibrant and gorgeous animation combined with a touching story (although rather predictable and perhaps a little saccharine, at times) makes this another wonderful edition to the Studio's catalogue of ever-growing hits. It not only handles big topics such as life and death with sensitivity and care, getting its message across in a family-friendly way, but manages to do it whilst also being an entertaining, emotional and culturally sensitive love letter to Mexico and its traditions. It isn't Pixar's best work, but it's pretty great, nonetheless."
"88",4.5,"  One of the best animation film of 2017."
"89",5,"  Overall an amazing movie and something I'd never get tired of seeing. I've seen this multiple times already and even from the animation alone, there's always something new to discover during the film. The plot is structured in a way that makes every puzzle piece and point of view fit together almost comically perfect. A movie that allows both kids and adults to cry over. Definitely worth seeing"
"90",5,"  Lovely scenario and story. Beautiful songs."
"91",5,"  I must have seen this movie about twenty times and still cry at the end. A wonderful storyline, amazing voice cast and perfectly touching moments throughout. This is my favourite release in years and I plan on watching it many more times yet! My two year old knows most of the songs and words and has his own guitar which he holds and sings the songs. You have to have a heart of stone to not love this!"
"92",5,"  Pixar creates yet another masterpiece with this gorgeously animated and touching movie about the importance of family and remembering those who we have lost. The plot is engaging and filled with twists and turns that are perfectly set up. It doesn't matter what age you are or what culture you are from everyone can find something in this oh so human story. If Coco fails to emotionally effect you I question your sanity"
"93",5,"  the greatest cartoon I have ever seen"
"94",5,"  No.1 Animation film of all time!!"
"95",5,"  Possibly the best offering from Pixar ever. And that is saying something."
"96",4.5,"  soon fantastic and brilliant. i can't even expel how much emotion you'll get"
"97",5,"  Absolutely amazing!"
"98",4.5,"  One of the best films ever! I absolutely loved the story and moral and I highly recommend seeing this movie."
"99",5,"  I didn't expect much when I watched this movie and there were a lot of twist and turns. It's another fast paced animated film but everything were somehow precise to the point. The story is heavily focused on the importance of family and believing on whatever you want to be. Miguel is one of those kids who still believe in that. It was an enjoyable movie, never the less. The near end of the story was heartbreaking but that's when you realized that family is very important. It's pretty much the message this movie is showing to us. Hopefully this movie is included in the upcoming video game, Kingdom Hearts 3. It seems to be an appropriate setting for the game and i wouldn't be surprised if Sora and Miguel become instant best friends since they are much alike."
"100",4,"  colorful visuals, fun story, vibrant music. and a heartwarming message at the end. Much more lighthearted in tone than Corpse Bride. My only gripe would be the forced and unneeded plot twist villain that's been done to death in prior PIXAR films like in Toy Story and UP."
"101",5,"  Un des plus beau film d'animation que j'ai pu voir"
"102",5,"  ????????????????????????"
"103",4,"  While the film begins as standard animated fare, it blossoms much like the great works of Ghibli and Disney into a glorious celebration of all things south american and fantastical. The characters are not ground breaking but their place in the world Unkrich and Molina create are fantastic, filled with emotion and a riveting story, Coco will have you laughing, crying and tapping your feet to this fresh but familiar animation."
"104",5,"  Enjoyable film, good fun, loveable characters, unpredictable and funny plot line with a humorous and good moral message. Recommend! it's deserves attention !"
"105",5,"  love this movie this is the best movie.."
"106",5,"  This was a really good movie i recommend seeing it either in theaters or buying it from YouTube,FandangoNOW or where ever you buy movies online. I love the Mexican Culture in this movie it really gave me a insight on what it is like in Spanish Countries on the Day of the Dead."
"107",5,"  Pixars best work to date."
"108",5,"  a movie that will make you cry like a child."
"109",3,"  Oscar winner for best animation is an odd movi\e. Most of the movie is spent where all his ancestors are dead (day of the Daed) but are clothed and made up as if they were alive. Very oddGorgeous film and nice music (Oscar for best song)."
"110",5,"  Ufff excelente pelicula"
"111",5,"  It was great. My favorite part was how the guitar playing was accurate."
"112",5,"  movie MAKES A WAVE OF EMOTIONS AND Tears. its very very good!"
"113",5,"  SPECTACULAR production. As a hispanic american, i really appreciated the details that were accurately depicted in regards to the mexican culture. The STORYLINE was unique, and The excitement kept me on my toes the ENtire Film."
"114",5,"  Pixar has done it again! Amazing!"
"115",5,"  this is a very touching story, get ready to cry"
"116",5,"  Mamacita!!! The movie, that is going to test the amount of water in your eyes. Loved it"
"117",5,"  One of the best Pixar films of all time. this film is proof that hollywood can still make original films (if it wants to)."
"118",5,"  Such a wonderful celebration of family love. so heartwarming."
