"","Rating","Text"
"34",3.5,"  Video game movie adaptations, boy have they been bad. Here is one that is not bad, not stupid, and very watchable. Cool!There's not a lot to say about Tomb Raider. It's an action movie, and it succeeds at that in nearly every way. The action scenes are interesting and fun to watch. Alicia Vikander, who did nearly all her own stunts, is also great. She helms the role in a way that will please fans of the game. While in the original movies, Lara Croft was very sexualized, but in this reboot, she is a strong female hero, which is amazing and refreshing to see in a blockbuster. The stunt work and action scenes are fantastic. I have only a few problems with this movie. The beginning relies on narration, which is really unnecessary and weird. Everything that is explained in the beginning is directly explained later, so why is it there? The story is pretty generic, too.Tomb Raider tries to adapt the 2013 reboot game and is mostly successful. It's an enjoyable action movie that I would recommend, and is definitely the best video game adaptation, but there isn't too much competition. It's a video game movie that is action-packed and enjoyable, and has a female action hero, which is awesome! While it's not without it's flaws, I think it's worth seeing."
"35",2.5,"  Angelina's First is irreplaceable"
"36",1,"  Terrrible....(Awful)...Direction of a bloated screenplay wastes the acting talent of the cast and makes you appreciate the video games which seem masterpieces of storytelling in comparison."
"37",4.5,"  The original movies were like the original games; an oversexualised Lara, over the top moments and not a lot of character. This was more like the new games; a more grounded setting, better story and characters, and more sense. It also stands out compared to other video game movies like Mario Bros as an enjoyable movie for fans and newbies to the series."
"38",2.5,"  MINOR SPOILERS.I was forced to go see this because my girlfriend is in it. She was great, as always, but was held down by the constraints of a relatively uninteresting story and a mediocre script. This could have been compelling and a fine start to a franchise. It wasn't. The script never popped. It never rose above the pedestrian. It never became memorable.The first 20 minutes of the film was totally wasted and could have been handled better with a mere three minutes of skillful writing. Several of the scenes were complete throwaways. Thus, the very weak first act failed to establish interest and convincingly build both the character origin and necessary relationships. Instead, we got a silly bike race. I can only recall a single outfit for Alicia, whose grace and beauty should have been far better utilized in the setup at the very least.The initial second act Hong Kong scene also a total waste that should have been cut from the script before production. Walter Goggins did a good job, but the villain he portrayed was a cardboard cutout without depth, sufficient motivation, or any redeeming qualities. A one-dimensional and unconvincing baddy who also couldn't overcome a boring script. His character created an unnecessary plot hole left unexplained and gaping like an open wound. Rote and verbatim oral and visual repetition of the subject of the whole quest seemed to indicate they knew the whole point of the story was weak and uninteresting. Rather than fix it, they just repeated it to make sure we didn't miss the little bit they had done. The twist wasn't one, and was obvious from the beginning, lifted wholesale from ROTLA III. The stakes never felt real or significant, although they should have. The final cliffhanger a seeming paradox that could have been easily resolved by the father, yet was inexplicably left to become the story's not-so-secret moving evil force. Had the father simply removed the impediment in his control, there wouldn't have been any story at all. Hard to believe that none of these things were addressed before the flat, mediocre script went into production.Hadn't seen Daniel Wu before. He was excellent, but just as they began to use him effectively, they cut his involvement and forgot what was working. Disintegrates into a CGI fest that mimics and palely echoes ROTLA. Still worth seeing if only for Alicia, but a very mediocre film. **.5 /*****. 49/62."
"39",4,"  We Liked the suspense of the movie it was fun it was adventurous and we enjoyed it"
"40",0.5,"  Horrible movie! So predictable, just play the video game instead. Found it really boring, don't waste your time or money seeing it"
"41",3,"  Not as good as I hoped but not as bad as I feared. Tomb Raider is a decent adaptation with a great performance from Alicia Vikander, who was more or less perfect casting as Croft."
"42",2.5,"  The previews are the best part of this movie"
"43",3.5,"  Was bad but i like the first movie better"
"44",5,"  Good action movie. Alicia Vikander is great as young Lara.Well worth seeing. Far better than any of the Angelina jolie era tombraider movies, and stays faithful to the new generation of Tombraider games. One of the best movies based on a video game in my opinion."
"45",4.5,"  I almost did not go see this in the theaters due to all the mediocre and bad reviews, but they are all undeserved. This new reboot of Tomb Raider brought some gripping and intense scenes that had me on the edge of my seat. Alicia Vikander more than live up to the part and delivered a very sexy and fierce young Lara Croft while remaining vulnerable when a scene called for it. The action is good, the special effects are great, and the acting is convincing and not over the top like many movies of this genre. It was impressive. This is by far the best movie based on a video game I have ever seen."
"46",5,"  At last, a fully fleshed out Lara Croft for 2018! Those who know me know I'm a Tomb Raider fan. I played all the games, love the movies, collected the comic books and action figures, and did plenty of cosplay back in the day for contests and cons.This year's Tomb Raider - 2018 pulls the entire IP together with a totally believable Lara Croft. Brilliantly acted, this rendition took the time to flesh out Lara with an updated backstory and character arc that is touching and heartfelt.Gone are the campy villains of previous cinematic portrayals. Lara faces a truly desperate psychopath in her quest to discover the fate of her father. She gathers friends and allies that support the story admirably. Gone is the pandering body padding. Instead, we are treated to an athletic protagonist capable of meeting the physical challenges that confront her.Reckless, vulnerable, ambitious, independent, charismatic, and a little naive, Alicia Vikander as young Lara brings her origin story to life. Without pulling punches (literally), this movie magically incorporates both classic and contemporary game memes with a Lara who redefines today's vibrant female hero.And it's got action, puzzles, and pathos with a mere touch of humor. I just finished watching it the 3rd time, and it holds up to close scrutiny. Tomb Raider - 2018, I love what you've done with Lara. Can't wait for the sequel."
"47",3,"  good but not the best"
"48",0.5,"  Boring. This is based on a video game and doesn't need to be ""realistic"". As a big fan of Tomb Raider and especially Lara Croft I couldn't stop myself from falling asleep."
"49",0.5,"  We did not intend to see this movie but we did only because of free tickets that was given to us.There are many kindergarten school plays that's better than this movie and if anyone seen the movie, they would think my comment is an insult to kindergarten school plays. I apologize to all the kindergarten teachers for the comment.This is my first Tomb Raider and I don't understand how the studio approve of this script. If you are the writers (I can't believe if there is more than one but just in case), congratulations, you have pulled off the greatest scam or prank in history. Hats off to you!Storyline doesn't make sense and the dialogues are intolerable. I wanted to walk out but my wife wouldn't let me because she thought the movie was gonna turn around. Well she thought wrong! We both now live in regret....Half a star is hyping up the movie"
"50",1,"  Alicia is mesmerizing as Lara Croft, but not even her looks nor the look of the film could penetrate through the boredom that indulges this pacing for tomb raiders of the found ark."
"51",4,"  A underated movie, Tomb Raider is an excellent film to experience. Certainly go see this"
"52",5,"  Great movie adaptation of the 2013 reboot!"
"53",4,"  IF you liked the video game you will like this movie because the two are remarkably similar in story and in the flow of the action. Well made action scenes combined with a compelling performance by vikander make for an awesome movie event."
"54",4.5,"  This was a great movie, great cast and an action packed story."
"55",3.5,"  TO SEE OR NOT TO SEE? A BIg fat yes! The kind of movie you and your better half would both enjoy. The special effects were excellent and I think the rating should at least be 60%. It was very suspenseful and well worth my time and money"
"56",3.5,"  A strong female lead, lots of action and thrills. Definitely a bonus seeing some game sequences come to life! Alicia makes her role as Lara seem tailor fit. Now, if only the story line was not so lack luster ..."
"57",4,"  Although this movie is slightly slow at times, it is also suspenseful and full of action. I like the mythology surrounding it, and the ending was very good."
"58",5,"  its a better game game then people think it is..."
"59",2,"  It was too predictable, everything she needed for every situation was within reach,how convenient , it was a fast pace action that's all"
"60",4.5,"  love it ,everything was great cant wait for next one"
"61",4,"  far better than I expected, 2018's Tomb raider is a gripping adventure film with a Lara that feels like a human being rather than a sexy action figure."
"62",4,"  Hannah John-Kamen steals the show!"
"63",5,"  Lara not being a super model with large assets made the story feel much more believable. Alicia Vikander looks exactly like the version of Lara Croft in the recent Tomb Raider video game reboot that she's supposed to be playing!"
"64",3,"  Guessing someone involved in this was a big Last Crusade fan....Still fairly entertaining despite the feeling I had seen this movie before."
"65",2.5,"  What to say about this film. I liked about half of it, and at different points. Maybe it's because it felt like 3 different movies during each act. I will try not to spoil the movie but will probably explain basic elements of each act to demonstrate my point. So the first act felt like your typical college film about a young 20-something year old woman trying to make ends meet while living in busy London. That was fun, funny, not tomb raider, but overall fine. Once the second act begins (the adventure) it tries to become this mysterious quest surrounding questions about Lara's father. Overall this part of the movie is boring, uninteresting, and predictable. And the second act feels like it drags on forever. But the third act is where we get actual tomb raiding and adventure/action akin to the video game series. Really liked the third act. So the movie was a rollercoaster in terms of quality. If you're a fan of the two new video games (like I am) you might like, but other wise it's not that good. But its still not terrible enough to maybe wait for a matinee screening or redbox."
"66",0.5,"  Really disappointing, rubbish story line, nothing happens. Had potential but was a load of crap."
