"","Rating","Text"
"29",4,"  good for kids and parents very heart warming lovely soft story for a sunday afternoon"
"30",2.5,"  Ferdinand is such a disappointing movie which is very well animated and it has some sweet and fun scenes, but for the most part it is filled with way too much action scenes and too many sidekick characters. It is frenetic, boring and way too kid friendly. Needless to say, its Oscar nomination is ludicrous and the original 1938 Disney short remains the quintessential adaptation of this story."
"31",4,"  Really Great My Kids Loved It So Much"
"32",5,"  Ferdinand is a masterful movie. Comparing it to the Disney short is like comparing apples and oranges. It is a powerful story about a bull who didn't want to fight, but instead smell the flowers and have friends. The ending has ferdinand showing mercy, which was the only way to survive the bullring. I would see it again and again and not get tired of it."
"33",2.5,"  A safe middle of the road children's movie that doesn't do anything overly stupid or offensive but also doesn't take any risks to making anything unique and in typical blue sky animation fashion is filled with load annoying characters and is filled with an annoyingly fast pace that assumes children have zero patience"
"34",2.5,"  The bull in a china shop section is great. Unfortunately, they've stretched out that decent Pixar short to over 90 minutes, and there's just not much left there. Animals behave like humans and do non-animal activities. That's basically the extent of the humor. Sure, it's heart is in the right place, but the ""be yourself"" message is a bit clich� for a kids film. 2017 just wasn't a great year for animated or kids films."
"35",5,"  I don't know Why do tears come out of my eyes when watching THIS movie. .????????"
"36",3.5,"  Surprisingly heartfelt and fun--don't miss the dance-off in the middle!"
"37",1,"  So much of this movie is racist like The accents, and um,well,it's just garbage"
"38",3.5,"  A dark story if you're a kid, an animal lover or a bull. If you and your kids aren't sensitive to the bulls going in and the horns come out on a plaque, then it's enjoyable. An original animated story about self acceptance and not giving up on yourself or those around you."
"39",2.5,"  Yeah well, I wasn't expecting much but still.. I mean there were a few smiles but no actual laughs and even though the characters were sweet, the whole wasn't fun."
"40",4,"  Beautifully animated, Ferdinand is a tradicional animation, if not bring nothing new to the table, still is a great product, full of heart, lessons and a lot of charismatic characters. Carlos Saldanha provide a entertaining and solid movie for the whole family. (4/5)"
"41",0.5,"  This movie was so generic and basic. Totally butchered the massage"
"42",5,"  If you are interested on teaching your kid to be itself and not always follow what the rest say, this is the perfect movie to watch. Ferdinand, besides its beautiful scenes and amazing explanation of Spain traditions, it presents a unique concept that it is not often mentioned. As competitive human beings, we usually try to do a better job than anyone else on Earth no matter the situation. Unfortunately, the way we do things is not usually special and we tend to follow a common procedure on how to be successful. Meanwhile, Ferdinand teaches as that by following our own way of being, we can reach all the goals we set in our mind and make them reality."
"43",5,"  The ""Spirit"" of the second decade of the 21st century (Spirit: Stallion of the cimarron, the movie). It is lovely, it made me tear up at the end."
"44",3.5,"  Charming, often quite funny, and fairly old-fashioned (though not in an unwelcome manner). Surprisingly for a modern animated kids movie, it's also not afraid to actually have the darkness of the real-world in it overtly as central to the latter parts of the story (albeit in fairly typically light fashion, but still, it's there)."
"45",3,"  The youngest in the house enjoyed it. Overall, a bit clunky, and the voice work wasn't great, but not a terrible way to spend some time with the youngster."
"46",4,"  With a good enough story about how violence is not the solution to all problems, this is enjoyable enough. It's not on par with Pixar but it's one of the best of late for Blue Sky."
"47",5,"  Loved it. Doesn't matter no one else did. I thoroughly enjoyed it. Definitely not a child's movie and I'm totally against bullfighting, and wonder who on earth came up the the thought to use it in an animation. All in all though thankfully, a happy ending unlike real bull torture."
"48",1,"  A hopelessly lacklustre animation from Blue Sky Studios, the company responsible for a long line of increasingly poor Ice Age sequels, I'm not even sure it's supposed to be funny, since huge chunks of time pass by without even as much as a smile being raised. Almost every joke is a running gag which started out not being funny and then proceeds to be run into the ground. The obligatory quirky sidekick is little more than a repetitive annoyance, most of the characters are cheap stereotypes, the ending can be guessed within minutes, and the film breaks out its dance montage within 20 minutes. John Cena does his best, but he's playing the lead character who wants to do their own thing despite everyone else telling them to conform, which seems to be the default status for every children's film protagonist, and it does absolutely nothing new with this premise. It's a sad indicator of the state of animated films that this gets an Academy Award nomination and The Lego Batman Movie doesn't."
"49",3,"  At least it's better than The Boss Baby + The anti-animal cruelty message represented very well from the perspective of the bulls and also merged very well with the message of individuality.+ The animation is simple yet very beautiful, and the human characters' designs are really something special; every single human character design is different from the other and also very suitable for their Spanish nationality+ John Cena did a great job voicing the titular character, I mean who could be better than him voicing a strong bull with a big heart?+ ""Home"" is really a very good song and surprisingly moving!+ The final bullfighting scene is very well directed.------------------------------------------------------------------------------------------------- The humor is really really bad in this movie and 99% of the joke didn't work for me. Every bad joke you could imagine is in this movie; they are very silly, they are clich�d and they are so long that make you bored!- There are a lot of useless characters who are often supposed to be funny (okay, maybe the hedgehogs weren't that bad), and their introduction seemed like short films not just because they are long scenes but also very bad edited.- Unexpectedly, the relationship between the little girl and Ferdinand seemed to be forced to the movie. I really think it's not that important to the story, and the movie itself didn't care so much about it; it didn't give it a lot of time to be emerged or to be felt throughout the movie."
"50",1.5,"  I have no idea who decided it was a good idea to make a kids movie about bull fighting. The characters are generic and boring with no redeeming qualities. The movie was cute and decent until Kate McKinnons character, the most annoying ""side kick"" character ever, made the movie almost unbearable. Then throw in the German horses that only speak in memes and 10 year old slang, and you realize Fox animation was never going to learn from Disney to make their animated movies actually bearable for the parents being dragged into it. They can't even copy Pixars generic plot without screwing that up. Glad Disney bought them out. Maybe they'll clean house and make something watchable.The only positive I can give this movie is John Cena's voice acting is great and I hope he does many more films."
"51",5,"  Loved it~ cried alittle."
"52",2,"  Prefer the animated short Ferdinand the Bull."
"53",2.5,"  Not all that interesting, but the animation is nice."
