"","Rating","Text"
"54",2,"  it's about time we meet again..FerdinandThe animated features are supposed to attract the viewers into their new and attention seeking world and to be rich in details which helps connecting to them, unfortunately none of it is offered in here. Just a mere idea is projected by Carlos Saldanha; the director, which already was present in the original book and addition to that, it fails on delivering what was already there too. John Cena at the centre of it, is quite convincing but in here Kate McKinnon steals the show as her character is strong too along with her work. Ferdinand is a forward pass in its first act and a complete downer on its second one where all the clichéd characters and sequences jumps in that awaits and predicts the last act that even though being exhilarating (the chase scene is the only high point of the feature) couldn't charm anyone."
"55",5,"  Best animated film of 2017"
"56",2.5,"  Comedy of situations with ridiculous arguments inside an un-realistic version of the world it wants to represent. A sad attempt to represent the animal drama related to bullfighting."
"57",4,"  Aided by hilarious and comedic voice performances from John Cena and Kate McKinnon, Ferdinand is a funny, light-hearted family film for all ages and brings a dominantly colorful story to life."
"58",3.5,"  They had a scene where one of the bulls was taken to the slaughterhouse, but then they retconned it, which took some of the feel away from the situation...the Home scene made me feel things, though - it was really cool."
"59",5,"  GREAT MOVIE! GREAT STORY! THE WORLD NEEDS MORE LIKE THIS!!"
"60",2.5,"  It had some beautiful animation, and some funny slapstick moments. But the screenplay seemed like a rough draft. It really dragged and had me looking at my watch."
"61",3.5,"  It can't go to toe-to-toe with Coco for the animation Oscar, but Ferdinand represents a step forward in quality for Blue Sky Studios. They've managed to infuse their usual brand of frenetic storytelling and frantic humor with a nice adherence to the source material. It a shiny piece of animation for modern day families but telling a timely and poignant story that culminates in a touching match in the arena. This is predictable fluff, but actually hilarious, the German stallions had me guffawing, and John Cena and Kate McKinnon do great vocal work. What I think would improve Blue Sky's efforts on a more technical level, would be the fleshing out of the backgrounds and a more unique visual style. The animation is nice but very basic and not filled in as much as one would expect from Pixar. Still, Ferdinand is often too frantic, but its message is strong and its a pleasant way to spend an afternoon at the movies. In a year with few good animation offerings, this one at least ended the year stronger. Rating: 72"
"62",3,"  Okay. Not great. Marginally entertaining."
"63",5,"  Wonderful, movie full of joy and fiendship. Every child should see this!"
